date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:56:35	44/44	---M-Z	200	added ('OK')	text/plain	etag:W/%2218-5d88b84d29400%22	https://mountainfieldguide.com/robots.txt		(from )
01:56:35	104145/104145	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Dec%202024%2017:56:37%20GMT	https://mountainfieldguide.com/mount-kinabalu/	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/mount-kinabalu/index.html	(from )
01:56:36	114706/114706	---MCZ	200	added ('OK')	text/css	date:Thu,%2007%20Nov%202024%2016:05:23%20GMT	https://c0.wp.com/c/6.7.1/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/Mountain%20Field%20Guide/c0.wp.com/c/6.7.1/wp-includes/css/dist/block-library/style.min.css	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:36	919/919	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2287ce83d0c606af273ff394caa071625b%22	https://mountainfieldguide.com/mount-kinabalu/feed/	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/mount-kinabalu/feed/index.html	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:36	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.7.1/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/My%20Web%20Sites/Mountain%20Field%20Guide/c0.wp.com/c/6.7.1/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:36	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.7.1/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/My%20Web%20Sites/Mountain%20Field%20Guide/c0.wp.com/c/6.7.1/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:36	1425/1425	---M-Z	200	added ('OK')	text/css	etag:%22591-621c24486d2ab-gzip%22	https://mountainfieldguide.com/wp-content/plugins/wp-trending-post-slider-and-widget/assets/css/slick.css?ver=1.8.1	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/wp-content/plugins/wp-trending-post-slider-and-widget/assets/css/slickc245.css	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:37	8875/8875	---M-Z	200	added ('OK')	text/css	etag:%2222ab-621c24486d2ab-gzip%22	https://mountainfieldguide.com/wp-content/plugins/wp-trending-post-slider-and-widget/assets/css/wtpsw-public.css?ver=1.8.1	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/wp-content/plugins/wp-trending-post-slider-and-widget/assets/css/wtpsw-publicc245.css	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:37	121411/121411	---M-Z	200	added ('OK')	text/css	etag:%221da43-6151335ceb91b-gzip%22	https://mountainfieldguide.com/wp-content/themes/graphene/bootstrap/css/bootstrap.min.css?ver=6.7.1	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/wp-content/themes/graphene/bootstrap/css/bootstrap.min9704.css	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:38	31019/31019	---M-Z	200	added ('OK')	text/css	etag:%22792b-6151335cedc44-gzip%22	https://mountainfieldguide.com/wp-content/themes/graphene/fonts/font-awesome/css/font-awesome.min.css?ver=6.7.1	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/wp-content/themes/graphene/fonts/font-awesome/css/font-awesome.min9704.css	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:38	60144/60144	---M-Z	200	added ('OK')	text/css	etag:%22eaf0-6151335cfda2d-gzip%22	https://mountainfieldguide.com/wp-content/themes/graphene/style.css?ver=2.9.4	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/wp-content/themes/graphene/stylef0c3.css	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:38	11691/11691	---M-Z	200	added ('OK')	text/css	etag:%222dab-6151335cfd645-gzip%22	https://mountainfieldguide.com/wp-content/themes/graphene/responsive.css?ver=2.9.4	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/wp-content/themes/graphene/responsivef0c3.css	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:38	4810/4810	---M-Z	200	added ('OK')	text/css	etag:%2212ca-6151335cea593-gzip%22	https://mountainfieldguide.com/wp-content/themes/graphene/blocks.css?ver=2.9.4	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/wp-content/themes/graphene/blocksf0c3.css	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:38	13011/13011	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Mar%202024%2018:39:50%20GMT	https://c0.wp.com/p/jetpack/13.8.1/_inc/social-logos/social-logos.min.css	C:/My%20Web%20Sites/Mountain%20Field%20Guide/c0.wp.com/p/jetpack/13.8.1/_inc/social-logos/social-logos.min.css	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:39	109125/109125	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202024%2014:34:18%20GMT	https://c0.wp.com/p/jetpack/13.8.1/css/jetpack.css	C:/My%20Web%20Sites/Mountain%20Field%20Guide/c0.wp.com/p/jetpack/13.8.1/css/jetpack.css	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:39	5729/5729	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2019%20Jun%202023%2019:16:27%20GMT	https://c0.wp.com/p/jetpack/13.8.1/_inc/build/related-posts/related-posts.min.js	C:/My%20Web%20Sites/Mountain%20Field%20Guide/c0.wp.com/p/jetpack/13.8.1/_inc/build/related-posts/related-posts.min.js	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:39	30503/30503	---M-Z	200	added ('OK')	text/javascript	etag:%227727-6249b75044ef3-gzip%22	https://mountainfieldguide.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.js?ver=9.1.0	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtagd746.js	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:39	87553/87553	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Aug%202023%2017:14:23%20GMT	https://c0.wp.com/c/6.7.1/wp-includes/js/jquery/jquery.min.js	C:/My%20Web%20Sites/Mountain%20Field%20Guide/c0.wp.com/c/6.7.1/wp-includes/js/jquery/jquery.min.js	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:39	13577/13577	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202023%2005:49:24%20GMT	https://c0.wp.com/c/6.7.1/wp-includes/js/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/Mountain%20Field%20Guide/c0.wp.com/c/6.7.1/wp-includes/js/jquery/jquery-migrate.min.js	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:40	39680/39680	---M-Z	200	added ('OK')	text/javascript	etag:%229b00-6151335cec8bb-gzip%22	https://mountainfieldguide.com/wp-content/themes/graphene/bootstrap/js/bootstrap.min.js?ver=2.9.4	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/wp-content/themes/graphene/bootstrap/js/bootstrap.minf0c3.js	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:40	1773/1773	---M-Z	200	added ('OK')	text/javascript	etag:%226ed-6151335cf5174-gzip%22	https://mountainfieldguide.com/wp-content/themes/graphene/js/bootstrap-hover-dropdown/bootstrap-hover-dropdown.min.js?ver=2.9.4	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/wp-content/themes/graphene/js/bootstrap-hover-dropdown/bootstrap-hover-dropdown.minf0c3.js	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:40	2637/2637	---M-Z	200	added ('OK')	text/javascript	etag:%22a4d-6151335cf5944-gzip%22	https://mountainfieldguide.com/wp-content/themes/graphene/js/bootstrap-submenu/bootstrap-submenu.min.js?ver=2.9.4	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/wp-content/themes/graphene/js/bootstrap-submenu/bootstrap-submenu.minf0c3.js	(from https://mountainfieldguide.com/mount-kinabalu/)
01:56:41	11142/11142	---M-Z	200	added ('OK')	text/javascript	etag:%222b86-6151335cf9f94-gzip%22	https://mountainfieldguide.com/wp-content/themes/graphene/js/jquery.infinitescroll.min.js?ver=2.9.4	C:/My%20Web%20Sites/Mountain%20Field%20Guide/mountainfieldguide.com/wp-content/themes/graphene/js/jquery.infinitescroll.minf0c3.js	(from https://mountainfieldguide.com/mount-kinabalu/)
